LocationID;Borough;Zone
144;Manhattan;Little Italy/NoLiTa
21;Brooklyn;Bensonhurst East
214;Staten Island;South Beach/Dongan Hills
111;Brooklyn;Green-Wood Cemetery
118;Staten Island;Heartland Village/Todt Hill
138;Queens;LaGuardia Airport
238;Manhattan;Upper West Side North
13;Manhattan;Battery Park City
96;Queens;Forest Park/Highland Park
218;Queens;Springfield Gardens North
112;Brooklyn;Greenpoint
179;Queens;Old Astoria
250;Bronx;Westchester Village/Unionport
75;Manhattan;East Harlem South
191;Queens;Queens Village
101;Queens;Glen Oaks
20;Bronx;Belmont
34;Brooklyn;Brooklyn Navy Yard
72;Brooklyn;East Flatbush/Remsen Village
41;Manhattan;Central Harlem
182;Bronx;Parkchester
77;Brooklyn;East New York/Pennsylvania Avenue
171;Queens;Murray Hill-Queens
231;Manhattan;TriBeCa/Civic Center
32;Bronx;Bronxdale
5;Staten Island;Arden Heights
82;Queens;Elmhurst
33;Brooklyn;Brooklyn Heights
241;Bronx;Van Cortlandt Village
135;Queens;Kew Gardens Hills
246;Manhattan;West Chelsea/Hudson Yards
210;Brooklyn;Sheepshead Bay
207;Queens;Saint Michaels Cemetery/Woodside
230;Manhattan;Times Sq/Theatre District
194;Manhattan;Randalls Island
108;Brooklyn;Gravesend
260;Queens;Woodside
166;Manhattan;Morningside Heights
113;Manhattan;Greenwich Village North
149;Brooklyn;Madison
229;Manhattan;Sutton Place/Turtle Bay North
53;Queens;College Point
200;Bronx;Riverdale/North Riverdale/Fieldston
127;Manhattan;Inwood
195;Brooklyn;Red Hook
152;Manhattan;Manhattanville
80;Brooklyn;East Williamsburg
161;Manhattan;Midtown Center
189;Brooklyn;Prospect Heights
208;Bronx;Schuylerville/Edgewater Park
254;Bronx;Williamsbridge/Olinville
30;Queens;Broad Channel
258;Queens;Woodhaven
11;Brooklyn;Bath Beach
140;Manhattan;Lenox Hill East
120;Manhattan;Highbridge Park
35;Brooklyn;Brownsville
58;Bronx;Country Club
163;Manhattan;Midtown North
36;Brooklyn;Bushwick North
237;Manhattan;Upper East Side South
76;Brooklyn;East New York
2;Queens;Jamaica Bay
190;Brooklyn;Prospect Park
143;Manhattan;Lincoln Square West
28;Queens;Briarwood/Jamaica Hills
172;Staten Island;New Dorp/Midland Beach
146;Queens;Long Island City/Queens Plaza
206;Staten Island;Saint George/New Brighton
259;Bronx;Woodlawn/Wakefield
221;Staten Island;Stapleton
124;Queens;Howard Beach
147;Bronx;Longwood
9;Queens;Auburndale
232;Manhattan;Two Bridges/Seward Park
106;Brooklyn;Gowanus
48;Manhattan;Clinton East
81;Bronx;Eastchester
158;Manhattan;Meatpacking/West Village West
107;Manhattan;Gramercy
244;Manhattan;Washington Heights South
261;Manhattan;World Trade Center
228;Brooklyn;Sunset Park West
142;Manhattan;Lincoln Square East
49;Brooklyn;Clinton Hill
87;Manhattan;Financial District North
51;Bronx;Co-Op City
211;Manhattan;SoHo
226;Queens;Sunnyside
170;Manhattan;Murray Hill
27;Queens;Breezy Point/Fort Tilden/Riis Beach
4;Manhattan;Alphabet City
240;Bronx;Van Cortlandt Park
247;Bronx;West Concourse
68;Manhattan;East Chelsea
156;Staten Island;Mariners Harbor
61;Brooklyn;Crown Heights North
150;Brooklyn;Manhattan Beach
25;Brooklyn;Boerum Hill
59;Bronx;Crotona Park
12;Manhattan;Battery Park
219;Queens;Springfield Gardens South
220;Bronx;Spuyten Duyvil/Kingsbridge
70;Queens;East Elmhurst
162;Manhattan;Midtown East
10;Queens;Baisley Park
265;N/A;Outside of NYC
227;Brooklyn;Sunset Park East
133;Brooklyn;Kensington
1;EWR;Newark Airport
55;Brooklyn;Coney Island
243;Manhattan;Washington Heights North
201;Queens;Rockaway Park
29;Brooklyn;Brighton Beach
126;Bronx;Hunts Point
91;Brooklyn;Flatlands
105;Manhattan;Governor's Island
160;Queens;Middle Village
89;Brooklyn;Flatbush/Ditmas Park
153;Manhattan;Marble Hill
104;Manhattan;Ellis Island
125;Manhattan;Hudson Sq
23;Staten Island;Bloomfield/Emerson Hill
84;Staten Island;Eltingville/Annadale/Prince's Bay
131;Queens;Jamaica Estates
216;Queens;South Ozone Park
257;Brooklyn;Windsor Terrace
66;Brooklyn;DUMBO/Vinegar Hill
235;Bronx;University Heights/Morris Heights
224;Manhattan;Stuy Town/Peter Cooper Village
209;Manhattan;Seaport
43;Manhattan;Central Park
110;Staten Island;Great Kills Park
134;Queens;Kew Gardens
167;Bronx;Morrisania/Melrose
137;Manhattan;Kips Bay
196;Queens;Rego Park
116;Manhattan;Hamilton Heights
71;Brooklyn;East Flatbush/Farragut
54;Brooklyn;Columbia Street
86;Queens;Far Rockaway
90;Manhattan;Flatiron
169;Bronx;Mount Hope
187;Staten Island;Port Richmond
115;Staten Island;Grymes Hill/Clifton
168;Bronx;Mott Haven/Port Morris
102;Queens;Glendale
52;Brooklyn;Cobble Hill
225;Brooklyn;Stuyvesant Heights
239;Manhattan;Upper West Side South
31;Bronx;Bronx Park
85;Brooklyn;Erasmus
42;Manhattan;Central Harlem North
173;Queens;North Corona
114;Manhattan;Greenwich Village South
176;Staten Island;Oakwood
16;Queens;Bayside
103;Manhattan;Liberty Island
139;Queens;Laurelton
188;Brooklyn;Prospect-Lefferts Gardens
122;Queens;Hollis
98;Queens;Fresh Meadows
213;Bronx;Soundview/Castle Hill
88;Manhattan;Financial District South
263;Manhattan;Yorkville West
78;Bronx;East Tremont
256;Brooklyn;Williamsburg (South Side)
38;Queens;Cambria Heights
249;Manhattan;West Village
204;Staten Island;Rossville/Woodrow
17;Brooklyn;Bedford
262;Manhattan;Yorkville East
145;Queens;Long Island City/Hunters Point
74;Manhattan;East Harlem North
26;Brooklyn;Borough Park
245;Staten Island;West Brighton
14;Brooklyn;Bay Ridge
155;Brooklyn;Marine Park/Mill Basin
8;Queens;Astoria Park
183;Bronx;Pelham Bay
67;Brooklyn;Dyker Heights
212;Bronx;Soundview/Bruckner
56;Queens;Corona (S)
222;Brooklyn;Starrett City
6;Staten Island;Arrochar/Fort Wadsworth
186;Manhattan;Penn Station/Madison Sq West
44;Staten Island;Charleston/Tottenville
37;Brooklyn;Bushwick South
64;Queens;Douglaston
148;Manhattan;Lower East Side
164;Manhattan;Midtown South
184;Bronx;Pelham Bay Park
119;Bronx;Highbridge
65;Brooklyn;Downtown Brooklyn/MetroTech
83;Queens;Elmhurst/Maspeth
40;Brooklyn;Carroll Gardens
45;Manhattan;Chinatown
174;Bronx;Norwood
197;Queens;Richmond Hill
47;Bronx;Claremont/Bathgate
123;Brooklyn;Homecrest
202;Manhattan;Roosevelt Island
141;Manhattan;Lenox Hill West
185;Bronx;Pelham Parkway
60;Bronx;Crotona Park East
93;Queens;Flushing Meadows-Corona Park
130;Queens;Jamaica
99;Staten Island;Freshkills Park
165;Brooklyn;Midwood
46;Bronx;City Island
255;Brooklyn;Williamsburg (North Side)
63;Brooklyn;Cypress Hills
62;Brooklyn;Crown Heights South
128;Manhattan;Inwood Hill Park
159;Bronx;Melrose South
205;Queens;Saint Albans
251;Staten Island;Westerleigh
236;Manhattan;Upper East Side North
15;Queens;Bay Terrace/Fort Totten
217;Brooklyn;South Williamsburg
178;Brooklyn;Ocean Parkway South
24;Manhattan;Bloomingdale
18;Bronx;Bedford Park
22;Brooklyn;Bensonhurst West
79;Manhattan;East Village
234;Manhattan;Union Sq
39;Brooklyn;Canarsie
180;Queens;Ozone Park
157;Queens;Maspeth
233;Manhattan;UN/Turtle Bay South
97;Brooklyn;Fort Greene
181;Brooklyn;Park Slope
109;Staten Island;Great Kills
223;Queens;Steinway
117;Queens;Hammels/Arverne
136;Bronx;Kingsbridge Heights
92;Queens;Flushing
154;Brooklyn;Marine Park/Floyd Bennett Field
175;Queens;Oakland Gardens
193;Queens;Queensbridge/Ravenswood
177;Brooklyn;Ocean Hill
50;Manhattan;Clinton West
69;Bronx;East Concourse/Concourse Village
198;Queens;Ridgewood
100;Manhattan;Garment District
151;Manhattan;Manhattan Valley
3;Bronx;Allerton/Pelham Gardens
19;Queens;Bellerose
242;Bronx;Van Nest/Morris Park
252;Queens;Whitestone
7;Queens;Astoria
129;Queens;Jackson Heights
192;Queens;Queensboro Hill
199;Bronx;Rikers Island
121;Queens;Hillcrest/Pomonok
132;Queens;JFK Airport
253;Queens;Willets Point
215;Queens;South Jamaica
94;Bronx;Fordham South
95;Queens;Forest Hills
203;Queens;Rosedale
73;Queens;East Flushing
248;Bronx;West Farms/Bronx River
57;Queens;Corona (N)
